Date,Zone Enter Time,Zone Exit Time,Time (Mins),Time (Hrs),Distance (Home),Zone,Device
2025-02-10,2025-02-10 17:54:05,2025-02-10 18:09:05,15,0.25,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-02-10,2025-02-10 17:54:05,2025-02-10 18:09:05,15,0.25,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-02-11,2025-02-11 16:25:20,2025-02-11 16:40:20,15,0.25,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-02-11,2025-02-11 16:40:20,2025-02-11 16:40:20,0,0.00,0.00,home,device_tracker_alex_iphone_ic3
2025-02-12,2025-02-12 18:02:55,2025-02-12 18:18:00,15,0.25,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-02-12,2025-02-12 18:02:55,2025-02-12 18:18:00,15,0.25,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-02-13,2025-02-13 17:38:55,2025-02-13 17:53:55,15,0.25,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-02-13,2025-02-13 17:38:55,2025-02-13 17:53:55,15,0.25,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-02-14,2025-02-14 17:33:10,2025-02-14 17:48:15,15,0.25,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-02-14,2025-02-14 17:48:15,2025-02-14 17:48:15,0,0.00,0.00,home,device_tracker_alex_iphone_ic3
2025-02-15,2025-02-15 14:32:10,2025-02-15 14:47:15,15,0.25,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-02-15,2025-02-15 14:32:10,2025-02-15 14:47:15,15,0.25,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-02-16,2025-02-16 16:53:00,2025-02-16 17:08:20,15,0.25,0.19,approaching_home_south,device_tracker_alex_iphone_ic3
2025-02-16,2025-02-16 16:53:00,2025-02-16 17:08:20,15,0.25,0.19,approaching_home_south,device_tracker_alex_iphone_ic3
2025-02-22,2025-02-22 13:38:10,2025-02-22 13:53:15,15,0.25,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-02-22,2025-02-22 13:38:10,2025-02-22 13:53:15,15,0.25,0.00,approaching_home_south,device_tracker_alex_iphone_ic3

2025-02-27,2025-02-27 16:20:25,2025-02-27 16:35:30,15,0.25,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-03-02,2025-03-02 17:51:50,2025-03-02 18:07:10,15,0.25,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-07-21,2025-07-21 12:57:55,2025-07-21 13:13:50,16,0.27,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-07-22,2025-07-22 17:32:15,2025-07-22 17:38:05,6,0.10,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-07-25,2025-07-25 16:38:50,2025-07-25 16:42:30,4,0.07,0.74,approaching_home_south,device_tracker_alex_iphone_ic3
2025-07-26,2025-07-26 10:01:05,2025-07-26 10:05:10,4,0.07,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-07-30,2025-07-30 14:28:20,2025-07-30 14:37:55,10,0.17,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-07-31,2025-07-31 15:52:40,2025-07-31 15:59:55,7,0.12,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-08-01,2025-08-01 19:10:45,2025-08-01 19:14:25,4,0.07,0.36,approaching_home_south,device_tracker_alex_iphone_ic3
2025-08-07,2025-08-07 14:28:45,2025-08-07 14:44:35,16,0.27,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-08-08,2025-08-08 17:38:30,2025-08-08 17:45:50,7,0.12,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-08-17,2025-08-17 15:35:50,2025-08-17 15:51:55,16,0.27,0.00,approaching_home_south,device_tracker_alex_iphone_ic3
2025-08-18,2025-08-18 11:47:35,2025-08-18 11:51:20,4,0.07,0.36,approaching_home_south,device_tracker_alex_iphone_ic3
2025-08-21,2025-08-21 13:12:55,2025-08-21 13:16:30,4,0.07,0.36,approaching_home_south,device_tracker_alex_iphone_ic3
