Date,Zone Enter Time,Zone Exit Time,Time (Mins),Time (Hrs),Distance (Home),Zone,Device
2025-01-27,2025-01-27 10:02:41,2025-01-27 11:18:40,76,1.27,5.47,home,device_tracker_alex_iphone_ic3
2025-01-27,0000-00-00 00:00:00,2025-01-27 11:18:40,0,0.00,5.47,,device_tracker_alex_iphone_ic3
2025-01-28,2025-01-28 11:21:50,2025-01-28 11:52:10,30,0.50,0.39,home,device_tracker_alex_iphone_ic3
2025-01-28,2025-01-28 11:21:50,2025-01-28 11:52:10,30,0.50,0.39,home,device_tracker_alex_iphone_ic3
2025-01-28,2025-01-28 13:32:25,2025-01-28 15:05:10,93,1.55,1.47,home,device_tracker_alex_iphone_ic3
2025-01-28,2025-01-28 13:32:25,2025-01-28 15:05:10,93,1.55,1.47,home,device_tracker_alex_iphone_ic3
2025-01-28,2025-01-28 15:45:20,2025-01-28 17:02:00,77,1.28,1.25,home,device_tracker_alex_iphone_ic3
2025-01-28,0000-00-00 00:00:00,2025-01-28 17:02:00,0,0.00,1.25,,device_tracker_alex_iphone_ic3
2025-01-29,2025-01-28 19:04:50,2025-01-29 12:35:10,1050,17.50,0.15,home,device_tracker_alex_iphone_ic3
2025-01-29,2025-01-28 19:04:50,2025-01-29 12:35:10,1050,17.50,0.15,home,device_tracker_alex_iphone_ic3
2025-01-30,2025-01-29 16:53:40,2025-01-30 11:00:00,1086,18.10,10.18,home,device_tracker_alex_iphone_ic3
2025-01-30,2025-01-29 16:53:40,2025-01-30 11:00:00,1086,18.10,10.18,home,device_tracker_alex_iphone_ic3
2025-02-03,2025-02-02 17:13:00,2025-02-03 17:25:30,1452,24.20,4.26,home,device_tracker_alex_iphone_ic3
2025-02-03,0000-00-00 00:00:00,2025-02-03 17:25:30,0,0.00,4.26,,device_tracker_alex_iphone_ic3
2025-02-03,2025-02-03 18:07:55,2025-02-03 18:38:20,30,0.50,0.05,home,device_tracker_alex_iphone_ic3
2025-02-03,2025-02-03 18:07:55,2025-02-03 18:38:20,30,0.50,0.05,home,device_tracker_alex_iphone_ic3
2025-02-04,2025-02-03 18:42:35,2025-02-04 09:51:05,908,15.13,2.14,home,device_tracker_alex_iphone_ic3
2025-02-04,2025-02-03 18:42:35,2025-02-04 09:51:05,908,15.13,2.14,home,device_tracker_alex_iphone_ic3
2025-02-06,2025-02-06 14:21:35,2025-02-06 17:37:40,196,3.27,4.90,home,device_tracker_alex_iphone_ic3
2025-02-06,2025-02-06 14:21:35,2025-02-06 17:37:40,196,3.27,4.90,home,device_tracker_alex_iphone_ic3
2025-02-07,2025-02-06 18:08:05,2025-02-07 10:47:05,999,16.65,0.76,home,device_tracker_alex_iphone_ic3
2025-02-07,2025-02-06 18:08:05,2025-02-07 10:47:05,999,16.65,0.76,home,device_tracker_alex_iphone_ic3
2025-02-07,2025-02-07 13:29:25,2025-02-07 13:59:35,30,0.50,3.90,home,device_tracker_alex_iphone_ic3
2025-02-07,2025-02-07 13:29:25,2025-02-07 13:59:35,30,0.50,3.90,home,device_tracker_alex_iphone_ic3
2025-02-07,2025-02-07 17:44:00,2025-02-07 18:44:35,61,1.02,0.19,home,device_tracker_alex_iphone_ic3
2025-02-07,2025-02-07 18:44:35,2025-02-07 18:44:35,0,0.00,0.19,approaching_home,device_tracker_alex_iphone_ic3
2025-02-08,2025-02-07 20:33:25,2025-02-08 12:42:00,969,16.15,0.08,home,device_tracker_alex_iphone_ic3
2025-02-08,2025-02-07 20:33:25,2025-02-08 12:42:00,969,16.15,0.08,home,device_tracker_alex_iphone_ic3
2025-02-08,2025-02-08 19:03:10,2025-02-08 19:18:15,15,0.25,0.81,home,device_tracker_alex_iphone_ic3
2025-02-08,2025-02-08 19:03:10,2025-02-08 19:18:15,15,0.25,0.81,home,device_tracker_alex_iphone_ic3
2025-02-10,2025-02-08 19:56:40,2025-02-10 13:46:50,2510,41.83,2.13,home,device_tracker_alex_iphone_ic3
2025-02-10,2025-02-08 19:56:40,2025-02-10 13:46:50,2510,41.83,2.13,home,device_tracker_alex_iphone_ic3
2025-02-10,2025-02-10 14:40:20,2025-02-10 17:26:15,166,2.77,1.05,home,device_tracker_alex_iphone_ic3
2025-02-10,2025-02-10 14:40:20,2025-02-10 17:26:15,166,2.77,1.05,home,device_tracker_alex_iphone_ic3
2025-02-11,2025-02-10 18:09:05,2025-02-11 07:30:55,802,13.37,5.07,home,device_tracker_alex_iphone_ic3
2025-02-11,2025-02-10 18:09:05,2025-02-11 07:30:55,802,13.37,5.07,home,device_tracker_alex_iphone_ic3
2025-02-11,2025-02-11 08:51:55,2025-02-11 09:52:15,60,1.00,2.19,home,device_tracker_alex_iphone_ic3
2025-02-11,2025-02-11 08:51:55,2025-02-11 09:52:15,60,1.00,2.19,home,device_tracker_alex_iphone_ic3
2025-02-11,2025-02-11 16:40:20,2025-02-11 17:25:20,45,0.75,4.15,home,device_tracker_alex_iphone_ic3
2025-02-11,2025-02-11 16:40:20,2025-02-11 17:25:20,45,0.75,4.15,home,device_tracker_alex_iphone_ic3
2025-02-12,2025-02-11 19:26:31,2025-02-12 09:32:15,846,14.10,0.32,home,device_tracker_alex_iphone_ic3
2025-02-12,2025-02-11 19:26:31,2025-02-12 09:32:15,846,14.10,0.32,home,device_tracker_alex_iphone_ic3
2025-02-12,2025-02-12 10:11:49,2025-02-12 11:58:10,106,1.77,0.76,home,device_tracker_alex_iphone_ic3
2025-02-12,2025-02-12 10:11:49,2025-02-12 11:58:10,106,1.77,0.76,home,device_tracker_alex_iphone_ic3
2025-02-12,2025-02-12 17:22:19,2025-02-12 17:37:40,15,0.25,5.45,home,device_tracker_alex_iphone_ic3
2025-02-12,2025-02-12 17:22:19,2025-02-12 17:37:40,15,0.25,5.45,home,device_tracker_alex_iphone_ic3
2025-02-13,2025-02-13 10:03:12,2025-02-13 10:48:50,46,0.77,0.09,home,device_tracker_alex_iphone_ic3
2025-02-13,2025-02-13 13:40:05,2025-02-13 15:25:40,106,1.77,1.71,home,device_tracker_alex_iphone_ic3
2025-02-13,2025-02-13 13:40:05,2025-02-13 15:25:40,106,1.77,1.71,home,device_tracker_alex_iphone_ic3
2025-02-14,2025-02-13 17:53:55,2025-02-14 09:30:55,937,15.62,1.36,home,device_tracker_alex_iphone_ic3
2025-02-14,2025-02-13 17:53:55,2025-02-14 09:30:55,937,15.62,1.36,home,device_tracker_alex_iphone_ic3
2025-02-14,2025-02-14 13:51:25,2025-02-14 14:51:45,60,1.00,2.33,home,device_tracker_alex_iphone_ic3
2025-02-14,0000-00-00 00:00:00,2025-02-14 14:51:45,0,0.00,2.33,,device_tracker_alex_iphone_ic3
2025-02-14,2025-02-14 17:48:15,2025-02-14 18:48:25,60,1.00,0.10,home,device_tracker_alex_iphone_ic3
2025-02-14,0000-00-00 00:00:00,2025-02-14 18:48:25,0,0.00,0.10,,device_tracker_alex_iphone_ic3
2025-02-15,2025-02-14 18:59:00,2025-02-15 11:51:30,1013,16.88,7.41,home,device_tracker_alex_iphone_ic3
2025-02-15,0000-00-00 00:00:00,2025-02-15 11:51:30,0,0.00,7.41,,device_tracker_alex_iphone_ic3
2025-02-16,2025-02-16 09:44:56,2025-02-16 16:53:00,428,7.13,0.27,home,device_tracker_alex_iphone_ic3
2025-02-16,2025-02-16 16:53:00,2025-02-16 16:53:00,0,0.00,0.27,approaching_home_south,device_tracker_alex_iphone_ic3
2025-02-17,2025-02-16 17:11:25,2025-02-17 14:03:10,1252,20.87,0.79,home,device_tracker_alex_iphone_ic3
2025-02-17,0000-00-00 00:00:00,2025-02-17 14:03:10,0,0.00,0.79,,device_tracker_alex_iphone_ic3
2025-02-17,2025-02-17 15:08:25,2025-02-17 15:24:10,16,0.27,1.90,home,device_tracker_alex_iphone_ic3
2025-02-17,2025-02-17 15:08:25,2025-02-17 15:24:10,16,0.27,1.90,home,device_tracker_alex_iphone_ic3
2025-02-17,2025-02-17 16:47:30,2025-02-17 17:48:05,61,1.02,4.72,home,device_tracker_alex_iphone_ic3
2025-02-17,0000-00-00 00:00:00,2025-02-17 17:48:05,0,0.00,4.72,,device_tracker_alex_iphone_ic3
2025-02-17,2025-02-17 18:31:55,2025-02-17 18:46:55,15,0.25,0.07,home,device_tracker_alex_iphone_ic3
2025-02-17,2025-02-17 18:31:55,2025-02-17 18:46:55,15,0.25,0.07,home,device_tracker_alex_iphone_ic3
2025-02-18,2025-02-17 18:49:55,2025-02-18 10:48:35,959,15.98,0.09,home,device_tracker_alex_iphone_ic3
2025-02-18,2025-02-17 18:49:55,2025-02-18 10:48:35,959,15.98,0.09,home,device_tracker_alex_iphone_ic3
2025-02-18,2025-02-18 10:56:10,2025-02-18 11:41:25,45,0.75,1.20,home,device_tracker_alex_iphone_ic3
2025-02-18,2025-02-18 10:56:10,2025-02-18 11:41:25,45,0.75,1.20,home,device_tracker_alex_iphone_ic3
2025-02-18,2025-02-18 17:34:05,2025-02-18 18:04:45,31,0.52,0.09,home,device_tracker_alex_iphone_ic3
2025-02-18,2025-02-18 17:34:05,2025-02-18 18:04:45,31,0.52,0.09,home,device_tracker_alex_iphone_ic3
2025-02-20,2025-02-19 19:16:15,2025-02-20 10:41:40,925,15.42,0.24,home,device_tracker_alex_iphone_ic3
2025-02-20,2025-02-19 19:16:15,2025-02-20 10:41:40,925,15.42,0.24,home,device_tracker_alex_iphone_ic3
2025-02-20,2025-02-20 14:23:55,2025-02-20 14:39:00,15,0.25,4.43,home,device_tracker_alex_iphone_ic3
2025-02-20,2025-02-20 14:23:55,2025-02-20 14:39:00,15,0.25,4.43,home,device_tracker_alex_iphone_ic3
2025-02-21,2025-02-20 18:21:45,2025-02-21 09:13:55,892,14.87,4.52,home,device_tracker_alex_iphone_ic3
2025-02-21,2025-02-20 18:21:45,2025-02-21 09:13:55,892,14.87,4.52,home,device_tracker_alex_iphone_ic3
2025-02-21,2025-02-21 17:24:00,2025-02-21 17:54:10,30,0.50,5.48,home,device_tracker_alex_iphone_ic3
2025-02-21,2025-02-21 17:24:00,2025-02-21 17:54:10,30,0.50,5.48,home,device_tracker_alex_iphone_ic3
2025-02-22,2025-02-21 18:32:10,2025-02-22 08:58:10,866,14.43,16.24,home,device_tracker_alex_iphone_ic3
2025-02-22,2025-02-21 18:32:10,2025-02-22 08:58:10,866,14.43,16.24,home,device_tracker_alex_iphone_ic3
